Bon any nou!;Happy New Year!
gravar;to record
el gra de raïm;grape
ja és hora;it's time
tothom;everyone
el nas;nose
les Espanyes;rest of Spain (colloq)
de petit;as a child
de gran;as an adult
descobrir;to discover
a tot arreu;everywhere
la vivència;experience
un munt de;a lot of
prendre el pèl a algú;to tease someone
la canalla;children
el senyor;gentleman
el mercat;market
contractar;to hire
disfressar-se;to disguise oneself
el pallasso;clown
la mentida;lie
l'engany (m);deception
frustrant;frustrating
la broma;joke
fer por;to be creepy
una mena de;a kind of
el dia dels Sants Innocents;April Fools’ Day
enganyar;to deceive
sovint;often
el tió;uncle
Nadal;Christmas
Cap d'Any;New Year's Eve
els Reis;Three Wise Men
l'amic invisible (m);Secret santa
la llufa;"Kick me" sign
l'escola (f);school
l'esplai (m);youth centre
retallar;to cut out
en manada;in a pack
l'esquena (f);back
enganxar;to stick
el cel·lo;tape
dissimuladament;without being noticed
tenir ganes de;to feel like
la innocentada;prank
fer mandra;to be lazy
greu;serious
la neboda;niece
dissimular;to hide
adonar-se de;to realize
el pet;fart
fer olor;to smell
gaudir;to enjoy
el propòsit;resolution
aconseguir;to achieve
a poc a poc;slowly
embalar-se;to pick up speed
accelerar-se;to speed up
la botzina;horn
el soroll;noise
el cartell;poster
tranquil;calm
davant;in front of
tenir present;to keep in mind
a velocitat estratosfèrica;at breakneck speed
apuntar-se a;to sign up for
el gener;January
si no vaig errat;if I'm not mistaken
el dimecres;Wednesday
el dijous;Thursday
el dilluns;Monday
el dimarts;Tuesday
la conversa;conversation
guanyar fluïdesa;to become more fluent
el preu;price
l'horari (m);schedule
el nivell;level
el dubte;doubt
tens un nivell que flipes;you’re on another level
la videotrucada;video call
útil;useful
subestimar;to underestimate
al revés;the other way around
resoldre dubtes;to answer questions
descansar;to rest
fer gràcia;to be funny
la llista;list
fumar;to smoke
la dona;wife
ben bé;exactly
a partir d'aquí;from here on
parar atenció;to pay attention
tirar enrere;to go back
cadascú;each one
clicar;to click
per curiositat;out of curiosity
no era ben bé així;it wasn't exactly like that
sortir amb algú;to date someone
cansar-se de;to get tired of
avorrir alguna cosa;to get bored with something
fer esport;to do sports
concretar;to to specify
la fita;milestone
perdona'm que et talli;sorry for interrupting you
implicar algú;to engage someone
la natació;swimming
setmanalment;weekly
proposar-se alguna cosa;to plan to do something
la piscina;swimming pool
escaquejar-se;to escape
forçar;to force
tibar;to pull
el cervell pensant;mastermind
el repte;challenge
el setembre;September
l'èxit (m);success
guai;cool (colloq)
Quina mandra!;What a drag!
mare de Déu;OMG
el pronom feble;weak pronoun
l'aprenent (m);learner
curt -a;short
morir-se;to die
factible;feasible
tenir a veure amb;to have to do with
el maldecap;headache
breu;brief
l'aportació (f);contribution
interioritzar ;to internalize
aprendre fent;to learn by doing
la frase;sentence
millorar;to improve
la data;date
sobretot;above all
la disciplina;discipline
complir;to fulfill
quina llàstima que…;what a pity that...
mare meva;OMG
tots plegats;all together
l'enllaç (m);link
menys;less
massa;too much
renunciar;to resign
prioritzar;to prioritize
la mentalitat;mindset
compartir;to share
qualsevol;any
l'àudio (m);voice message
tenir mono de;to crave
el botó;button
moltes gràcies a tothom;thank you very much everyone
donar suport;to support
tirar endavant ;to move forward
a reveure;see you soon
adeu;bye
