la pluja;rain
nevar;to snow
quina ràbia;damn it
la neu;snow
encara;yet
almenys;at least
la muntanya;mountain
cap avall;downwards
bonic -a;beautiful
la pala;shovel
treure;to remove
el camí;way
déu-n'hi-do;OMG
dur -a;hard
esmentar;to mention
donar l'enhorabona;to congratulate
l'equip (m);team
l'aprenentatge de llengües (m);language learning
l'autoaprenentatge (m);self-learning
lluny;far away
cadascun;each (colloq)
el profe;teacher
la centena;hundredth
el missatge de veu;voice message
treure's el C1;to get a C1 certificate
fer il·lusió;to be exciting
servir;to work
la guia;guide
mare meva;oh my goodness
enhorabona;congratulations
carai;wow
fins a quin punt;to what extent
útil;useful
darrere;behind
en canvi;on the contrary
trobar a faltar;to miss
les xarxes;social media
el correu;mail
el tren;train
ferroviari -ària;railway
la tragèdia;tragedy
l'actualitat (f);what's going on
l'esllavissada (f);landslide
empitjorar;to worsen
la incidència;technical issue
el tall;(service) disruption
greu;serious
el descarrilament;derailment
el xoc;shock
la xarxa;network
Rodalies;Catalonia's commuter rail service
el govern;government
el malestar;discontent
confiar;to trust
el perill;danger
la desgràcia;tragedy
refiar-se de;to rely on
garantir;to guarantee
la via;railway
el mur;wall
el talús;slope
la seguretat;security
un munt de;a lot of
el servei ferroviari;railway service
acumular-se;to accumulate
el caos;chaos
el perfil;profile
el costum;habit
la publicació;post
la puntualitat;punctuality
a l'hora;on time
puntual;punctual
l'antelació (f);advance
ànims;stay strong
sentir a parlar;to hear about
dinar;lunch
el Telenotícies Comarques;regional news programme in Catalonia
el servei;service
el reportatge;report
ensenyar;to show
l'espai (m);space
llogar;to rent
la fiança;deposit
tornar;to return
l'electrodomèstic (m);appliance
el bricolatge;DIY
la jardineria;gardening
de tota mena;of all kinds
a tot arreu;everywhere
l'eina (f);tool
per més endavant;for later
el martell;hammer
el metre;measuring tape
el tornavís;screwdriver
acudir-se (una cosa, a algú);to come to mind
l'horari (m);schedule
reduït -ïda;small
no cal;no need
fer servir;to use
el préstec;loan
el lloguer;rent
el manteniment;maintenance
la neteja;cleaning
sortir a compte;to work out cheaper
autogestionat -ada;self-managed
la comunitat de veïns;residents’ association
el veí;neighbor
collar;to screw sth in
descollar;to loosen
el cargol;screw
el vis;screw
allargat -ada;elongated
la punta;tip
pla plana;flat
enroscar;to screw
el trepant;drill
el forat;hole
la reforma;renovation
anomenar;to name
l'escala (f);ladder
plegable;foldable
enfilar-se a;to climb onto
el graó;step
pujar;to go up
la caixa d'eines;toolbox
la clau Allen;Allen key
la clau anglesa;wrench
les alicates;pliers
les estenalles;tongs
val més;it's better to
ruc;stupid
a ull;by eye
reversible;reversible
el cantó;end
l'aspiradora (f);vacuum cleaner
el compressor;compressor
inflar;to inflate
el matalàs;mattress
netejar;to clean
el deshumidificador;dehumidifier
imprescindible;essential
el CAP;primary healthcare centre
la cadira de rodes;wheelchair
les crosses;crutches
toquem fusta;knock on wood
la cama;leg
l'esquinç (m);sprain
el bastó;cane
arrepenjar-se a;to lean on
el braç;arm
la canalla;children
la despesa;expense
el bressol;cradle
l'acampada (f);camping
el sac de dormir;sleeping bag
el fogonet;camping stove
la motxilla;backpack
els esquís;skis
les raquetes de neu;snowshoes
la criança;parenting
el cabàs;bassinet
la cistella;basket
la trona;high chair
el carro;stroller
la torreta;plant pot
trasplantar;to repot
un cop l'any;once a year
muntar una paradeta;to set up a stall
la carpa;tent
l'aportació (f);contribution
gratuït -a;free
de franc;for free
el carretó;hand truck
la caixa;box
assidu assídua;regular
guanyar;to win
el premi;award
content -a;happy
motivar-se;to motivate oneself
l'enllaç (m);link
votar;to vote
senzill -a;simple
el nom;name
el cognom;surname
l'adreça electrònica (f);email address
el codi postal;postal code
que vagi molt bé;take care
adeu;bye
