Com anem?;How are you doing?
al darrere;behind
curt -a;short
el noi;guy
rus russa;Russian
fer broma;to joke
la vida és dura;life is hard
en canvi;instead
estar acostumat a;on the other hand
desenvolupar;to develop
(no) gaire;(not) much
la pregunta retòrica;rhetorical question
gairebé;almost
malalt -a;sick
el metge;doctor
la medicació;medication
millor;better
donar el pit;to breastfeed
alegrar-se de;to be happy about
en mal estat;in bad condition
vomitar;to vomit
les cagarrines;diarrhea
la matinada;early morning
Quin rotllo!;What a pain!
la manta;blanket
la rentadora;washing machine
a fondo;thoroughly
el farciment;filling
la tapisseria;upholstery shop
la bugaderia;laundry
tenir en compte;to take into account
la bogeria;madness
últimament;lately
estressant;stressful
la botiga;store
anar-se'n per les rames;to get sidetracked
avorrit -ida;boring
estar a sobre (d'algú);to hover over someone
tota l'estona;all the time
indecís -isa;indecisive
posar pressió;to put pressure
repensar-se alguna cosa;to reconsider sth
entrevistar;to interview
la Bressola;Catalan-language immersion schools in Northern Catalonia (France)
abans;before
l'aplaudiment (m);applause
trobar a faltar;to miss
content -a;happy
fàcil;easy
entendre's;to get along
disponible;available
recomanar;to recommend
el perfil;profile
increïble;incredible
la tonteria;nonsense
la bajanada;foolishness
la ximpleria;silliness
la parella lingüística;conversation partner
desfasat -ada;outdated
trobar;to find
començar;to start
el premi;prize
guanyar;to win
el pressupost;budget
la subvenció;grant
obsolet -a;obsolete
desactualitzat -ada;outdated
escombrar cap a casa;to look out for number one
em consta que;I'm aware that
la xerrada;talk
fer amistat;to make friends
xerrar;to chat
fer intercanvi;to exchange
l'alumne (m);student
l'escalada (f);climbing
la videotrucada;video call
conèixer gent;to meet people
viu viva;live
l'entrada (f);entry
enamorar-se de;to fall in love with
la sonoritat;sonority
la força;strength
el cervell ;brain
sortir bé (una cosa, a algú);to be good at sth
el buit;void
la memòria;memory
el cervell;brain
estancat -ada;stagnant
estressat -ada;stressed
per diversos motius;for various reasons
salvar;to save
posar-se en marxa;to get started
esdevenir;to become
el refugi ;shelter
ostres;wow
déu-n'hi-do;not bad
el diccionari;dictionary
l'esforç (m);effort
avançar;to advance
l'aprenentatge (m);learning process
l'enllaç (m);link
el refugi;shelter
l'angoixa (f);anguish
servir;to be good for
la supervivència;survival
esborrar;to erase
el record;memory
motivar;to motivate
animar;to encourage
callar;to shut up
no m'hi aboca;it doesn’t speak to me 
a veure;let's see
melancòlic -a;melancholic
el vespre;evening
cansat -ada;tired
el soroll;noise
esvair-se;to fade away
trist -a;sad
fomentar;to promote
la filla;daughter
la criatura;child
el truc;trick
avorrir-se de;to get bored of
la calma;calm
tranquil·litzar-se;to calm down
transmetre;to convey
el gest;gesture
la visualització;view
Dàmaris Gelabert;Catalan singer
el/la cantant;singer
la cançó infantil;children's song
la canalla;children
adorar;to love
la neboda;niece
dels collons;bloody
com em dona la gana;however I feel like
anar a dormir;to go to sleep
deixar-ho;to break up
el grup;band
tornar;to come back
tant de bo;hopefully
anar-se'n de les mans (una cosa);to get out of hand
implicat -ada;involved
el repte;challenge
avui;today
també;also
tot just acaba de començar;it has just begun
el pensament;thought
la cançó;song
penjar;to upload
cantaire;fond of singing
saber-se alguna cosa de memòria;to know something by heart
el videoclip;video clip
admirable;admirable
enorme;huge
aleatori -òria;random
adormir-se;to fall asleep
sovint;often
queixar-se;to complain
depriment;depressing
la ruptura;breakup
el compte;account
sobreviure;to survive
la reunió;meeting
el futur immediat;near future
proper -a;near
la feina;job
acomiadar-se;to say goodbye
el resum;summary
la promesa;promise
el compromís;commitment
fer públic;to make public
ferm -a;firm
incomplir;to fail
decebre;to disappoint
cagar-la;to mess up
agrair;to thank
fins a la propera;see you next time
adeu;goodbye
